"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Malawi","afmwi","mwi",22006.999999999996,1995
"Africa","af","South Africa","afzaf","zaf",29599,1995
"Africa","af","Zimbabwe","afzwe","zwe",2299110,1995
"Asia","as","Bhutan","asbtn","btn",91167,1995
"Asia","as","China","aschn","chn",283755,1995
"Asia","as","Hong Kong","ashkg","hkg",298787,1995
"Asia","as","Indonesia","asidn","idn",285070,1995
"Asia","as","India","asind","ind",11813164,1995
"Asia","as","Japan","asjpn","jpn",246389,1995
"Asia","as","South Korea","askor","kor",1935533,1995
"Asia","as","Malaysia","asmys","mys",903838,1995
"Asia","as","Pakistan","aspak","pak",4816252,1995
"Asia","as","Saudi Arabia","assau","sau",151472,1995
"Asia","as","Singapore","assgp","sgp",4294799,1995
"Asia","as","Thailand","astha","tha",17752093,1995
"Asia","as","Turkey","astur","tur",103662,1995
"Asia","as","Chinese Taipei","astwn","twn",273608,1995
"Europe","eu","Austria","euaut","aut",42859,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",1453181,1995
"Europe","eu","Switzerland","euche","che",68904,1995
"Europe","eu","Czechia","eucze","cze",13171,1995
"Europe","eu","Germany","eudeu","deu",2177133,1995
"Europe","eu","Denmark","eudnk","dnk",435391,1995
"Europe","eu","Spain","euesp","esp",193639,1995
"Europe","eu","Finland","eufin","fin",2706.0000000000005,1995
"Europe","eu","France","eufra","fra",1099063,1995
"Europe","eu","United Kingdom","eugbr","gbr",6697101,1995
"Europe","eu","Greece","eugrc","grc",17540,1995
"Europe","eu","Ireland","euirl","irl",4229990,1995
"Europe","eu","Italy","euita","ita",233803,1995
"Europe","eu","Netherlands","eunld","nld",4021363,1995
"Europe","eu","Norway","eunor","nor",462820.99999999994,1995
"Europe","eu","Portugal","euprt","prt",10354,1995
"Europe","eu","Russia","eurus","rus",24953.000000000004,1995
"Europe","eu","Sweden","euswe","swe",35666,1995
"North America","na","Canada","nacan","can",4265829,1995
"North America","na","Mexico","namex","mex",2938.9999999999995,1995
"North America","na","Trinidad and Tobago","natto","tto",15612,1995
"North America","na","United States","nausa","usa",3061490,1995
"Oceania","oc","Australia","ocaus","aus",831024,1995
"Oceania","oc","New Zealand","ocnzl","nzl",640818,1995
"South America","sa","Brazil","sabra","bra",6407262,1995
"South America","sa","Peru","saper","per",163382,1995
"Africa","af","Malawi","afmwi","mwi",72962,1996
"Africa","af","South Africa","afzaf","zaf",186014,1996
"Africa","af","Zambia","afzmb","zmb",484061.99999999994,1996
"Africa","af","Zimbabwe","afzwe","zwe",1279747,1996
"Asia","as","United Arab Emirates","asare","are",47511,1996
"Asia","as","Bhutan","asbtn","btn",92210,1996
"Asia","as","China","aschn","chn",190619,1996
"Asia","as","Hong Kong","ashkg","hkg",119205,1996
"Asia","as","Indonesia","asidn","idn",233639,1996
"Asia","as","India","asind","ind",23260775,1996
"Asia","as","Japan","asjpn","jpn",105655,1996
"Asia","as","South Korea","askor","kor",2360193,1996
"Asia","as","Sri Lanka","aslka","lka",6388.999999999999,1996
"Asia","as","Malaysia","asmys","mys",924960,1996
"Asia","as","Pakistan","aspak","pak",663173,1996
"Asia","as","Philippines","asphl","phl",11362,1996
"Asia","as","North Korea","asprk","prk",270207,1996
"Asia","as","Qatar","asqat","qat",1108,1996
"Asia","as","Saudi Arabia","assau","sau",110213,1996
"Asia","as","Singapore","assgp","sgp",3965288,1996
"Asia","as","Syria","assyr","syr",10705,1996
"Asia","as","Thailand","astha","tha",1059184,1996
"Asia","as","Turkey","astur","tur",120512,1996
"Asia","as","Chinese Taipei","astwn","twn",127437,1996
"Europe","eu","Austria","euaut","aut",38516.99999999999,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",1987247,1996
"Europe","eu","Switzerland","euche","che",58967,1996
"Europe","eu","Czechia","eucze","cze",8645,1996
"Europe","eu","Germany","eudeu","deu",1990377,1996
"Europe","eu","Denmark","eudnk","dnk",423013,1996
"Europe","eu","Spain","euesp","esp",430921,1996
"Europe","eu","France","eufra","fra",2218617,1996
"Europe","eu","United Kingdom","eugbr","gbr",7890520,1996
"Europe","eu","Hungary","euhun","hun",5423.999999999999,1996
"Europe","eu","Ireland","euirl","irl",1928960,1996
"Europe","eu","Italy","euita","ita",220972,1996
"Europe","eu","Netherlands","eunld","nld",4230298,1996
"Europe","eu","Norway","eunor","nor",675216,1996
"Europe","eu","Poland","eupol","pol",1034,1996
"Europe","eu","Portugal","euprt","prt",15389,1996
"Europe","eu","Russia","eurus","rus",1975,1996
"Europe","eu","Sweden","euswe","swe",359418,1996
"North America","na","Canada","nacan","can",3962290.0000000005,1996
"North America","na","Jamaica","najam","jam",45292,1996
"North America","na","Nicaragua","nanic","nic",16962,1996
"North America","na","Panama","napan","pan",16394.000000000004,1996
"North America","na","Trinidad and Tobago","natto","tto",42444,1996
"North America","na","United States","nausa","usa",5177095,1996
"Oceania","oc","Australia","ocaus","aus",1371314,1996
"Oceania","oc","New Zealand","ocnzl","nzl",532314,1996
"South America","sa","Argentina","saarg","arg",652430,1996
"South America","sa","Brazil","sabra","bra",21225198,1996
"South America","sa","Chile","sachl","chl",301142,1996
"South America","sa","Peru","saper","per",421539,1996
"Africa","af","Cape Verde","afcpv","cpv",3231.9999999999995,1997
"Africa","af","Djibouti","afdji","dji",5652,1997
"Africa","af","Egypt","afegy","egy",2135411,1997
"Africa","af","Ghana","afgha","gha",10137,1997
"Africa","af","Mauritius","afmus","mus",1724358,1997
"Africa","af","Malawi","afmwi","mwi",406017.00000000006,1997
"Africa","af","Sudan","afsdn","sdn",2287996,1997
"Africa","af","Togo","aftgo","tgo",8758,1997
"Africa","af","South Africa","afzaf","zaf",480432,1997
"Africa","af","Zimbabwe","afzwe","zwe",2614140,1997
"Asia","as","Bhutan","asbtn","btn",243655,1997
"Asia","as","China","aschn","chn",136150,1997
"Asia","as","Hong Kong","ashkg","hkg",252506.00000000003,1997
"Asia","as","Indonesia","asidn","idn",259604,1997
"Asia","as","India","asind","ind",27593427,1997
"Asia","as","Iran","asirn","irn",60768,1997
"Asia","as","Israel","asisr","isr",805.9999999999999,1997
"Asia","as","Japan","asjpn","jpn",210589,1997
"Asia","as","South Korea","askor","kor",4135431,1997
"Asia","as","Sri Lanka","aslka","lka",67210,1997
"Asia","as","Burma","asmmr","mmr",14299,1997
"Asia","as","Malaysia","asmys","mys",1111232,1997
"Asia","as","Nepal","asnpl","npl",24335,1997
"Asia","as","Oman","asomn","omn",11268,1997
"Asia","as","Pakistan","aspak","pak",1752411,1997
"Asia","as","Philippines","asphl","phl",125070,1997
"Asia","as","North Korea","asprk","prk",1994372,1997
"Asia","as","Saudi Arabia","assau","sau",38769,1997
"Asia","as","Singapore","assgp","sgp",6014284,1997
"Asia","as","Thailand","astha","tha",17370669,1997
"Asia","as","Turkey","astur","tur",226983,1997
"Asia","as","Chinese Taipei","astwn","twn",135842,1997
"Europe","eu","Austria","euaut","aut",624,1997
"Europe","eu","Belgium-Luxembourg","eublx","blx",3950583,1997
"Europe","eu","Switzerland","euche","che",209763,1997
"Europe","eu","Germany","eudeu","deu",2499117,1997
"Europe","eu","Denmark","eudnk","dnk",536303,1997
"Europe","eu","Spain","euesp","esp",854894,1997
"Europe","eu","Finland","eufin","fin",14637,1997
"Europe","eu","France","eufra","fra",1832117,1997
"Europe","eu","United Kingdom","eugbr","gbr",8509925,1997
"Europe","eu","Greece","eugrc","grc",84287,1997
"Europe","eu","Hungary","euhun","hun",21809,1997
"Europe","eu","Ireland","euirl","irl",3597109.9999999995,1997
"Europe","eu","Iceland","euisl","isl",2822,1997
"Europe","eu","Italy","euita","ita",651002,1997
"Europe","eu","Malta","eumlt","mlt",12607.999999999998,1997
"Europe","eu","Netherlands","eunld","nld",5473936,1997
"Europe","eu","Norway","eunor","nor",407598,1997
"Europe","eu","Portugal","euprt","prt",59611,1997
"Europe","eu","Russia","eurus","rus",9199,1997
"Europe","eu","Slovenia","eusvn","svn",11878,1997
"Europe","eu","Sweden","euswe","swe",147927,1997
"North America","na","Anguilla","naaia","aia",16213.000000000002,1997
"North America","na","Barbados","nabrb","brb",3018.0000000000005,1997
"North America","na","Canada","nacan","can",4726902,1997
"North America","na","Honduras","nahnd","hnd",12519,1997
"North America","na","Saint Lucia","nalca","lca",6532.999999999999,1997
"North America","na","Mexico","namex","mex",12283452,1997
"North America","na","United States","nausa","usa",7012305,1997
"Oceania","oc","Australia","ocaus","aus",1366182,1997
"Oceania","oc","New Zealand","ocnzl","nzl",609403,1997
"South America","sa","Argentina","saarg","arg",764602,1997
"South America","sa","Brazil","sabra","bra",18145326,1997
"South America","sa","Chile","sachl","chl",63260,1997
"South America","sa","Peru","saper","per",850047,1997
"Africa","af","Egypt","afegy","egy",4125,1998
"Africa","af","Mozambique","afmoz","moz",4886,1998
"Africa","af","Malawi","afmwi","mwi",359148,1998
"Africa","af","Sudan","afsdn","sdn",6568306,1998
"Africa","af","Togo","aftgo","tgo",79222,1998
"Africa","af","Tanzania","aftza","tza",92906,1998
"Africa","af","South Africa","afzaf","zaf",182580,1998
"Africa","af","Zambia","afzmb","zmb",252713,1998
"Africa","af","Zimbabwe","afzwe","zwe",2004868,1998
"Asia","as","United Arab Emirates","asare","are",185821,1998
"Asia","as","Bhutan","asbtn","btn",95951,1998
"Asia","as","China","aschn","chn",339611,1998
"Asia","as","Hong Kong","ashkg","hkg",84184,1998
"Asia","as","Indonesia","asidn","idn",656405,1998
"Asia","as","India","asind","ind",20203749,1998
"Asia","as","Iran","asirn","irn",26700,1998
"Asia","as","Japan","asjpn","jpn",34552,1998
"Asia","as","South Korea","askor","kor",1542581,1998
"Asia","as","Kuwait","askwt","kwt",25780.999999999996,1998
"Asia","as","Sri Lanka","aslka","lka",27886.999999999996,1998
"Asia","as","Burma","asmmr","mmr",1117073.9999999998,1998
"Asia","as","Malaysia","asmys","mys",1464667,1998
"Asia","as","Oman","asomn","omn",46141.99999999999,1998
"Asia","as","Pakistan","aspak","pak",3649075,1998
"Asia","as","Philippines","asphl","phl",436443,1998
"Asia","as","North Korea","asprk","prk",195167,1998
"Asia","as","Saudi Arabia","assau","sau",87732,1998
"Asia","as","Singapore","assgp","sgp",5499892,1998
"Asia","as","Thailand","astha","tha",1581513,1998
"Asia","as","Turkey","astur","tur",355939,1998
"Asia","as","Chinese Taipei","astwn","twn",183347,1998
"Europe","eu","Austria","euaut","aut",194872.99999999997,1998
"Europe","eu","Bulgaria","eubgr","bgr",9374,1998
"Europe","eu","Belgium-Luxembourg","eublx","blx",5436250,1998
"Europe","eu","Switzerland","euche","che",84274,1998
"Europe","eu","Germany","eudeu","deu",2041638,1998
"Europe","eu","Denmark","eudnk","dnk",2133781,1998
"Europe","eu","Spain","euesp","esp",600978,1998
"Europe","eu","Finland","eufin","fin",18820,1998
"Europe","eu","France","eufra","fra",5113339,1998
"Europe","eu","United Kingdom","eugbr","gbr",8080783,1998
"Europe","eu","Greece","eugrc","grc",93348.99999999999,1998
"Europe","eu","Ireland","euirl","irl",2825308,1998
"Europe","eu","Italy","euita","ita",1156106,1998
"Europe","eu","Malta","eumlt","mlt",38832,1998
"Europe","eu","Netherlands","eunld","nld",6047757,1998
"Europe","eu","Norway","eunor","nor",56973,1998
"Europe","eu","Portugal","euprt","prt",5059,1998
"Europe","eu","Sweden","euswe","swe",171667,1998
"North America","na","Netherlands Antilles","naant","ant",52826,1998
"North America","na","Barbados","nabrb","brb",1392,1998
"North America","na","Canada","nacan","can",4974989,1998
"North America","na","Cayman Islands","nacym","cym",6731,1998
"North America","na","Honduras","nahnd","hnd",8663,1998
"North America","na","Mexico","namex","mex",30550961,1998
"North America","na","Nicaragua","nanic","nic",2301,1998
"North America","na","United States Minor Outlying Islands","naumi","umi",47083.99999999999,1998
"North America","na","United States","nausa","usa",10762205,1998
"Oceania","oc","Australia","ocaus","aus",2047584,1998
"Oceania","oc","New Zealand","ocnzl","nzl",1077203,1998
"South America","sa","Argentina","saarg","arg",157226.00000000003,1998
"South America","sa","Brazil","sabra","bra",11761638,1998
"South America","sa","Chile","sachl","chl",38856,1998
"South America","sa","Peru","saper","per",299282,1998
"Africa","af","Malawi","afmwi","mwi",73173.99999999999,1999
"Africa","af","South Africa","afzaf","zaf",95480,1999
"Asia","as","Bhutan","asbtn","btn",143378,1999
"Asia","as","China","aschn","chn",180207,1999
"Asia","as","Cyprus","ascyp","cyp",2323,1999
"Asia","as","Hong Kong","ashkg","hkg",1452520,1999
"Asia","as","Indonesia","asidn","idn",508154,1999
"Asia","as","India","asind","ind",22593654,1999
"Asia","as","South Korea","askor","kor",1636071,1999
"Asia","as","Malaysia","asmys","mys",2036393,1999
"Asia","as","Nepal","asnpl","npl",155222,1999
"Asia","as","Oman","asomn","omn",48516.00000000001,1999
"Asia","as","Philippines","asphl","phl",1798834.9999999998,1999
"Asia","as","Singapore","assgp","sgp",7528550,1999
"Asia","as","Thailand","astha","tha",10385882,1999
"Asia","as","Turkey","astur","tur",717088,1999
"Asia","as","Chinese Taipei","astwn","twn",238180.99999999997,1999
"Europe","eu","Belgium","eubel","bel",4137595.9999999995,1999
"Europe","eu","Bulgaria","eubgr","bgr",8492,1999
"Europe","eu","Switzerland","euche","che",74153,1999
"Europe","eu","Germany","eudeu","deu",2243936,1999
"Europe","eu","Denmark","eudnk","dnk",519934,1999
"Europe","eu","Spain","euesp","esp",384697,1999
"Europe","eu","France","eufra","fra",1380659,1999
"Europe","eu","United Kingdom","eugbr","gbr",7812090,1999
"Europe","eu","Greece","eugrc","grc",154825,1999
"Europe","eu","Ireland","euirl","irl",448079.00000000006,1999
"Europe","eu","Italy","euita","ita",1266980,1999
"Europe","eu","Malta","eumlt","mlt",21383,1999
"Europe","eu","Netherlands","eunld","nld",5716337,1999
"Europe","eu","Portugal","euprt","prt",4516,1999
"Europe","eu","Sweden","euswe","swe",101726,1999
"North America","na","Belize","nablz","blz",826,1999
"North America","na","Barbados","nabrb","brb",7004,1999
"North America","na","Canada","nacan","can",243868,1999
"North America","na","Saint Lucia","nalca","lca",1936,1999
"North America","na","Trinidad and Tobago","natto","tto",4893,1999
"North America","na","United States","nausa","usa",4362557,1999
"Oceania","oc","Australia","ocaus","aus",1773551,1999
"Oceania","oc","New Zealand","ocnzl","nzl",310735,1999
"South America","sa","Brazil","sabra","bra",16348355.000000002,1999
"South America","sa","Chile","sachl","chl",168162,1999
"South America","sa","Peru","saper","per",56455,1999
"Africa","af","Ghana","afgha","gha",547,2000
"Africa","af","Mauritius","afmus","mus",14470.999999999998,2000
"Africa","af","Malawi","afmwi","mwi",135855,2000
"Africa","af","Sudan","afsdn","sdn",26.000000000000004,2000
"Africa","af","Eswatini","afswz","swz",55699,2000
"Africa","af","Togo","aftgo","tgo",4482,2000
"Africa","af","Tanzania","aftza","tza",42660,2000
"Africa","af","South Africa","afzaf","zaf",210820,2000
"Africa","af","Zambia","afzmb","zmb",59602,2000
"Africa","af","Zimbabwe","afzwe","zwe",2351151,2000
"Asia","as","United Arab Emirates","asare","are",457812,2000
"Asia","as","Bahrain","asbhr","bhr",27864,2000
"Asia","as","Bhutan","asbtn","btn",4254,2000
"Asia","as","China","aschn","chn",861920,2000
"Asia","as","Cyprus","ascyp","cyp",20393,2000
"Asia","as","Hong Kong","ashkg","hkg",263078,2000
"Asia","as","Indonesia","asidn","idn",1300889,2000
"Asia","as","India","asind","ind",42186935,2000
"Asia","as","Iran","asirn","irn",531,2000
"Asia","as","Israel","asisr","isr",74385,2000
"Asia","as","Japan","asjpn","jpn",151516,2000
"Asia","as","South Korea","askor","kor",2533334,2000
"Asia","as","Kuwait","askwt","kwt",233272.00000000003,2000
"Asia","as","Sri Lanka","aslka","lka",212429,2000
"Asia","as","Burma","asmmr","mmr",1244596,2000
"Asia","as","Malaysia","asmys","mys",2954338,2000
"Asia","as","Nepal","asnpl","npl",612356,2000
"Asia","as","Oman","asomn","omn",142433,2000
"Asia","as","Pakistan","aspak","pak",2784548,2000
"Asia","as","Philippines","asphl","phl",1214889.0000000002,2000
"Asia","as","North Korea","asprk","prk",30715,2000
"Asia","as","Qatar","asqat","qat",344,2000
"Asia","as","Saudi Arabia","assau","sau",21473,2000
"Asia","as","Singapore","assgp","sgp",29650516,2000
"Asia","as","Thailand","astha","tha",48347272,2000
"Asia","as","Turkey","astur","tur",3372190,2000
"Asia","as","Chinese Taipei","astwn","twn",480615,2000
"Asia","as","Vietnam","asvnm","vnm",36578,2000
"Asia","as","Yemen","asyem","yem",221,2000
"Europe","eu","Austria","euaut","aut",57579,2000
"Europe","eu","Belgium","eubel","bel",7458877,2000
"Europe","eu","Bulgaria","eubgr","bgr",38885,2000
"Europe","eu","Switzerland","euche","che",180668,2000
"Europe","eu","Czechia","eucze","cze",5714,2000
"Europe","eu","Germany","eudeu","deu",3208674,2000
"Europe","eu","Denmark","eudnk","dnk",666871,2000
"Europe","eu","Spain","euesp","esp",581902,2000
"Europe","eu","Finland","eufin","fin",11026,2000
"Europe","eu","France","eufra","fra",4432455,2000
"Europe","eu","United Kingdom","eugbr","gbr",10164873,2000
"Europe","eu","Greece","eugrc","grc",125152,2000
"Europe","eu","Hungary","euhun","hun",8000,2000
"Europe","eu","Ireland","euirl","irl",352819,2000
"Europe","eu","Italy","euita","ita",2377018,2000
"Europe","eu","Malta","eumlt","mlt",33133,2000
"Europe","eu","Netherlands","eunld","nld",7743313,2000
"Europe","eu","Norway","eunor","nor",4409,2000
"Europe","eu","Poland","eupol","pol",8533,2000
"Europe","eu","Portugal","euprt","prt",36133,2000
"Europe","eu","Russia","eurus","rus",46412,2000
"Europe","eu","Slovenia","eusvn","svn",2250,2000
"Europe","eu","Sweden","euswe","swe",190702,2000
"North America","na","Canada","nacan","can",1587877.0000000002,2000
"North America","na","Mexico","namex","mex",4779351,2000
"North America","na","United States","nausa","usa",5896238,2000
"Oceania","oc","Australia","ocaus","aus",2743848,2000
"Oceania","oc","New Zealand","ocnzl","nzl",615006,2000
"South America","sa","Argentina","saarg","arg",127,2000
"South America","sa","Brazil","sabra","bra",35066904,2000
"South America","sa","Chile","sachl","chl",58439,2000
"South America","sa","Peru","saper","per",579061,2000
"South America","sa","Venezuela","saven","ven",7834,2000
"Africa","af","Angola","afago","ago",168838,2001
"Africa","af","Burundi","afbdi","bdi",355492.00000000006,2001
"Africa","af","Democratic Republic of the Congo","afcod","cod",26,2001
"Africa","af","Djibouti","afdji","dji",22258.000000000004,2001
"Africa","af","Egypt","afegy","egy",110215,2001
"Africa","af","Ghana","afgha","gha",14895,2001
"Africa","af","Malawi","afmwi","mwi",15943,2001
"Africa","af","Eswatini","afswz","swz",52287,2001
"Africa","af","Togo","aftgo","tgo",9597.000000000002,2001
"Africa","af","South Africa","afzaf","zaf",5554327,2001
"Africa","af","Zambia","afzmb","zmb",474953.00000000006,2001
"Africa","af","Zimbabwe","afzwe","zwe",720731,2001
"Asia","as","United Arab Emirates","asare","are",313903,2001
"Asia","as","Bhutan","asbtn","btn",53384,2001
"Asia","as","China","aschn","chn",908932,2001
"Asia","as","Cyprus","ascyp","cyp",136262,2001
"Asia","as","Hong Kong","ashkg","hkg",830370,2001
"Asia","as","Indonesia","asidn","idn",1964115,2001
"Asia","as","India","asind","ind",119721475,2001
"Asia","as","Iran","asirn","irn",3571.9999999999995,2001
"Asia","as","Japan","asjpn","jpn",3591565,2001
"Asia","as","South Korea","askor","kor",1833833,2001
"Asia","as","Kuwait","askwt","kwt",251520,2001
"Asia","as","Sri Lanka","aslka","lka",351576,2001
"Asia","as","Burma","asmmr","mmr",396945,2001
"Asia","as","Malaysia","asmys","mys",3547505,2001
"Asia","as","Nepal","asnpl","npl",13772,2001
"Asia","as","Oman","asomn","omn",133142,2001
"Asia","as","Pakistan","aspak","pak",2921158,2001
"Asia","as","Philippines","asphl","phl",779020.0000000001,2001
"Asia","as","North Korea","asprk","prk",92798,2001
"Asia","as","Saudi Arabia","assau","sau",32561,2001
"Asia","as","Singapore","assgp","sgp",6854636,2001
"Asia","as","Thailand","astha","tha",19504700,2001
"Asia","as","Turkey","astur","tur",412877,2001
"Asia","as","Chinese Taipei","astwn","twn",580407,2001
"Asia","as","Vietnam","asvnm","vnm",1384732,2001
"Asia","as","Yemen","asyem","yem",790,2001
"Europe","eu","Austria","euaut","aut",122964.00000000001,2001
"Europe","eu","Belgium","eubel","bel",3274304,2001
"Europe","eu","Bulgaria","eubgr","bgr",69773,2001
"Europe","eu","Belarus","eublr","blr",5095,2001
"Europe","eu","Switzerland","euche","che",183288,2001
"Europe","eu","Germany","eudeu","deu",2356562,2001
"Europe","eu","Denmark","eudnk","dnk",465861,2001
"Europe","eu","Spain","euesp","esp",1747538,2001
"Europe","eu","Finland","eufin","fin",10388.000000000002,2001
"Europe","eu","France","eufra","fra",9274410,2001
"Europe","eu","United Kingdom","eugbr","gbr",10366583,2001
"Europe","eu","Greece","eugrc","grc",1410716,2001
"Europe","eu","Croatia","euhrv","hrv",339784,2001
"Europe","eu","Ireland","euirl","irl",494452,2001
"Europe","eu","Italy","euita","ita",1232392,2001
"Europe","eu","Netherlands","eunld","nld",8633341,2001
"Europe","eu","Norway","eunor","nor",636975,2001
"Europe","eu","Poland","eupol","pol",2140,2001
"Europe","eu","Portugal","euprt","prt",515640,2001
"Europe","eu","Russia","eurus","rus",73032,2001
"Europe","eu","Sweden","euswe","swe",387437,2001
"North America","na","Netherlands Antilles","naant","ant",84190,2001
"North America","na","Canada","nacan","can",956162,2001
"North America","na","Grenada","nagrd","grd",503,2001
"North America","na","Saint Lucia","nalca","lca",2978,2001
"North America","na","Nicaragua","nanic","nic",48908,2001
"North America","na","Panama","napan","pan",50385,2001
"North America","na","Trinidad and Tobago","natto","tto",74015,2001
"North America","na","United States","nausa","usa",14987560,2001
"Oceania","oc","Australia","ocaus","aus",3938206,2001
"Oceania","oc","New Zealand","ocnzl","nzl",1073026,2001
"South America","sa","Brazil","sabra","bra",18546256,2001
"South America","sa","Chile","sachl","chl",145877,2001
"South America","sa","Peru","saper","per",322462,2001
"South America","sa","Uruguay","saury","ury",67860,2001
"Africa","af","Burundi","afbdi","bdi",472525.99999999994,2002
"Africa","af","Cote d'Ivoire","afciv","civ",25800,2002
"Africa","af","Egypt","afegy","egy",38797,2002
"Africa","af","Kenya","afken","ken",30,2002
"Africa","af","Liberia","aflbr","lbr",12825.999999999998,2002
"Africa","af","Malawi","afmwi","mwi",195593,2002
"Africa","af","Niger","afner","ner",58245,2002
"Africa","af","Somalia","afsom","som",1176,2002
"Africa","af","Eswatini","afswz","swz",13500,2002
"Africa","af","Chad","aftcd","tcd",2492,2002
"Africa","af","Togo","aftgo","tgo",4705,2002
"Africa","af","South Africa","afzaf","zaf",1333039,2002
"Africa","af","Zambia","afzmb","zmb",352704,2002
"Africa","af","Zimbabwe","afzwe","zwe",1143593,2002
"Asia","as","United Arab Emirates","asare","are",594791,2002
"Asia","as","Bhutan","asbtn","btn",48071.00000000001,2002
"Asia","as","China","aschn","chn",11110189,2002
"Asia","as","Cyprus","ascyp","cyp",145519.99999999997,2002
"Asia","as","Hong Kong","ashkg","hkg",651588,2002
"Asia","as","Indonesia","asidn","idn",2562679,2002
"Asia","as","India","asind","ind",85935948,2002
"Asia","as","Iran","asirn","irn",32085,2002
"Asia","as","Jordan","asjor","jor",9.000000000000002,2002
"Asia","as","Japan","asjpn","jpn",3767577,2002
"Asia","as","South Korea","askor","kor",1879580,2002
"Asia","as","Kuwait","askwt","kwt",172111,2002
"Asia","as","Sri Lanka","aslka","lka",574101,2002
"Asia","as","Burma","asmmr","mmr",1868451,2002
"Asia","as","Malaysia","asmys","mys",4881885,2002
"Asia","as","Nepal","asnpl","npl",6,2002
"Asia","as","Oman","asomn","omn",50831,2002
"Asia","as","Pakistan","aspak","pak",5606322,2002
"Asia","as","Philippines","asphl","phl",214462,2002
"Asia","as","North Korea","asprk","prk",84435,2002
"Asia","as","Saudi Arabia","assau","sau",32110,2002
"Asia","as","Singapore","assgp","sgp",4592679,2002
"Asia","as","Thailand","astha","tha",15951741,2002
"Asia","as","Turkey","astur","tur",628147,2002
"Asia","as","Chinese Taipei","astwn","twn",292766,2002
"Asia","as","Vietnam","asvnm","vnm",223007,2002
"Europe","eu","Austria","euaut","aut",30201,2002
"Europe","eu","Belgium","eubel","bel",2646217,2002
"Europe","eu","Bulgaria","eubgr","bgr",14252.000000000002,2002
"Europe","eu","Bosnia and Herzegovina","eubih","bih",621,2002
"Europe","eu","Switzerland","euche","che",556294,2002
"Europe","eu","Czechia","eucze","cze",10707,2002
"Europe","eu","Germany","eudeu","deu",2412225,2002
"Europe","eu","Denmark","eudnk","dnk",306579,2002
"Europe","eu","Spain","euesp","esp",1131291,2002
"Europe","eu","Finland","eufin","fin",12740,2002
"Europe","eu","France","eufra","fra",2738126,2002
"Europe","eu","United Kingdom","eugbr","gbr",12367416,2002
"Europe","eu","Greece","eugrc","grc",1926320,2002
"Europe","eu","Croatia","euhrv","hrv",375331,2002
"Europe","eu","Ireland","euirl","irl",207574,2002
"Europe","eu","Italy","euita","ita",1014317,2002
"Europe","eu","Malta","eumlt","mlt",55199,2002
"Europe","eu","Netherlands","eunld","nld",7368198,2002
"Europe","eu","Norway","eunor","nor",175555,2002
"Europe","eu","Portugal","euprt","prt",784441,2002
"Europe","eu","Russia","eurus","rus",1871,2002
"Europe","eu","Sweden","euswe","swe",185362,2002
"North America","na","Netherlands Antilles","naant","ant",27636.999999999996,2002
"North America","na","Bermuda","nabmu","bmu",45860,2002
"North America","na","Canada","nacan","can",1282962,2002
"North America","na","Grenada","nagrd","grd",230002,2002
"North America","na","Greenland","nagrl","grl",120277.99999999999,2002
"North America","na","Jamaica","najam","jam",563.9999999999999,2002
"North America","na","Saint Lucia","nalca","lca",18220,2002
"North America","na","Mexico","namex","mex",6773,2002
"North America","na","Nicaragua","nanic","nic",1318,2002
"North America","na","Trinidad and Tobago","natto","tto",4,2002
"North America","na","United States","nausa","usa",12364858,2002
"North America","na","Saint Vincent and the Grenadines","navct","vct",27886,2002
"North America","na","British Virgin Islands","navgb","vgb",10,2002
"Oceania","oc","American Samoa","ocasm","asm",88227,2002
"Oceania","oc","Australia","ocaus","aus",4468590,2002
"Oceania","oc","New Zealand","ocnzl","nzl",1325345,2002
"Oceania","oc","Papua New Guinea","ocpng","png",2121697,2002
"South America","sa","Argentina","saarg","arg",319018,2002
"South America","sa","Bolivia","sabol","bol",126382,2002
"South America","sa","Brazil","sabra","bra",16699819,2002
"South America","sa","Chile","sachl","chl",60949,2002
"South America","sa","Colombia","sacol","col",1541464,2002
"South America","sa","Ecuador","saecu","ecu",243431,2002
"South America","sa","Peru","saper","per",6407.999999999999,2002
"South America","sa","Uruguay","saury","ury",759633,2002
"Africa","af","Egypt","afegy","egy",2771850,2003
"Africa","af","Equatorial Guinea","afgnq","gnq",119792.99999999999,2003
"Africa","af","Niger","afner","ner",54282,2003
"Africa","af","Sierra Leone","afsle","sle",33,2003
"Africa","af","Eswatini","afswz","swz",13038,2003
"Africa","af","Togo","aftgo","tgo",2175,2003
"Africa","af","Tunisia","aftun","tun",46,2003
"Africa","af","South Africa","afzaf","zaf",727144,2003
"Africa","af","Zambia","afzmb","zmb",12062.000000000002,2003
"Africa","af","Zimbabwe","afzwe","zwe",540644,2003
"Asia","as","Afghanistan","asafg","afg",10988,2003
"Asia","as","United Arab Emirates","asare","are",389056,2003
"Asia","as","Bangladesh","asbgd","bgd",11454260,2003
"Asia","as","Bhutan","asbtn","btn",22822,2003
"Asia","as","China","aschn","chn",1504338,2003
"Asia","as","Cyprus","ascyp","cyp",145851,2003
"Asia","as","Georgia","asgeo","geo",6915,2003
"Asia","as","Hong Kong","ashkg","hkg",1037782,2003
